skills,profession
"Соблюдение сроков, Самомотивация, Системы аутентификации, Express.js, GraphQL, Django, Наставничество",Фулстек-разработчик
"Коммуникабельность, Ведение документации, Терапевтическая коммуникация, Групповая терапия",Психолог
"Отчетность по багам, Анализ производительности, Креативность, Управление дефектами, Фреймворки автоматизации тестирования, Selenium, Postman, Проектирование тест-кейсов, Ручное тестирование",Инженер по тестированию ПО
"Аналитическое мышление, Next.js, Многозадачность, Webpack",Фронтенд-разработчик
"Многозадачность, Бизнес-анализ, Анализ данных, Wireframing, Исследование пользователей, Коммуникация с заинтересованными сторонами, Определение MVP, JIRA, Дорожная карта продукта, Основы UX",Продуктовый менеджер (IT)
"Оценка стоимости, Градостроительство, Конструктивные системы, Самостоятельность, AutoCAD, Поддержание документооборота",Архитектор
"Ответственность, Уголовное право, Регуляторное соответствие, Подготовка отчетов, Трудовое право",Юрист
"Массаж, Работа с пожилыми пациентами, Управление болью, Укрепление мышц, Работа с травмированными пациентами, Навыки продаж, Работа с ортопедическими проблемами, Оценка подвижности, Документирование прогресса, Проведение физиопроцедур, Проведение лечебной физкультуры",Физиотерапевт
"Поиск клиентов, Публичные выступления, Подготовка отчетов, Анализ рынка, Подготовка коммерческих предложений",Менеджер по развитию бизнеса
"Express.js, Python, PostgreSQL, SQL, Коммуникабельность, Node.js, Kubernetes, Java, Разработка API, REST API",Бэкенд-разработчик
"SEO, Управление кампаниями, Копирайтинг, Google Analytics, Генерация лидов, PPC-кампании, Многозадачность, Email-маркетинг, Маркетинговые исследования, Сегментация клиентов, A/B тестирование",Маркетолог
"Прототипирование, UX в играх, Физические движки, Unity, Понимание основ маркетинга, Скриптинг, Игровая механика, 3D-моделирование, Unreal Engine, C#",Гейм-дизайнер
"Cloud Storage, Apache Spark, Airflow, Python, Проектирование баз данных, Контроль качества",Инженер по данным
"Работа с офисной техникой, Docker, Prometheus, Основы сетей, AWS, Инфраструктура как код, Helm, Kubernetes, Azure, Terraform, Linux, Разработка новых идей",Инженер DevOps
"Dart, Firebase, Постановка целей, MVVM, Участие в мозговых штурмах, Мобильные интерфейсы, Организационные навыки, Разработка для iOS, Xcode, Kotlin",Мобильный разработчик
"Соблюдение конфиденциальности, Эмпатия, Аналитическое мышление, Защита прав детей, Работа с сообществами, Консультирование, Культурная чувствительность, Эмоциональный интеллект",Социальный работник
"Грамотная речь, Соблюдение сроков, Электропроводка, Распределение электроэнергии, Системы низкого напряжения, Управление электродвигателями, Монтаж солнечных панелей, Установка генераторов, Монтаж кабельных каналов, Жилая электрика",Электрик
"Умение работать удаленно, Коммуникация с клиентами, Коммуникабельность, Настройка оборудования, Аналитика запросов, Решение инцидентов, Грамотная речь, Работа с базами знаний, Техническая поддержка ПО",Инженер технической поддержки
"Защита интересов клиента, Навыки продаж, Поддержка пожилых людей, Работа в международной среде, Культурная чувствительность, Управление случаями, Эмпатия, Соблюдение конфиденциальности, Знание социальных служб, Консультирование",Социальный работник
"Персональный тренинг, Обучаемость, Самомотивация, Оценка физической формы",Фитнес-тренер
"Мониторинг, Prometheus, Креативность, Инфраструктура как код, Helm, Docker, Наставничество, Azure",Инженер DevOps
